juego_id,TEMPORADA,Zona,Q,P,lnQ,lnP
127275,22-23,Banco Azteca,32,200.0,3.4657359027997265,5.298317366548036
127275,22-23,Butaca Cabecera,370,100.0,5.91350300563827,4.605170185988092
127275,22-23,Cancha 1,38,1167.5,3.6375861597263857,7.062619989543053
127275,22-23,Cancha 2,70,1450.0,4.248495242049359,7.27931883541462
127275,22-23,Cancha 3,17,1200.0,2.833213344056216,7.090076835776092
127275,22-23,Cancha Vip 2,24,1150.0,3.1780538303479458,7.047517221357296
127275,22-23,Front Row Vip,16,1250.0,2.772588722239781,7.1308988302963465
127275,22-23,McCormick,87,200.0,4.465908118654584,5.298317366548036
127275,22-23,Platea 2,398,350.0,5.986452005284438,5.857933154483459
127275,22-23,Platea Cabecera,270,200.0,5.598421958998375,5.298317366548036
127275,22-23,Platea Cabecera 2,69,200.0,4.23410650459726,5.298317366548036
127275,22-23,Preferente,170,600.0,5.135798437050262,6.396929655216146
127275,22-23,Preferente Cabecera,200,450.0,5.298317366548036,6.1092475827643655
127275,22-23,Preferente Central,215,500.0,5.3706380281276624,6.214608098422191
127275,22-23,Preferente Fondo,66,450.0,4.189654742026425,6.1092475827643655
127275,22-23,Preferente Tunel,232,450.0,5.44673737166631,6.1092475827643655
127275,22-23,Zona Boing,82,350.0,4.406719247264253,5.857933154483459
127275,22-23,Zona Elektra,85,350.0,4.442651256490317,5.857933154483459
127275,22-23,Zona Mercado libre,63,280.0,4.143134726391533,5.634789603169249
127275,22-23,Zona Miniso,15,200.0,2.70805020110221,5.298317366548036
127275,22-23,Zona Pepsi,76,250.0,4.330733340286331,5.521460917862246
127275,22-23,Zona Sabritas,16,200.0,2.772588722239781,5.298317366548036
127275,22-23,Zona Toyota,76,350.0,4.330733340286331,5.857933154483459
127275,22-23,Zona Zapata,84,350.0,4.430816798843313,5.857933154483459
127395,22-23,Cancha 1,41,1100.0,3.713572066704308,7.003065458786462
127395,22-23,Cancha 2,27,1000.0,3.295836866004329,6.907755278982137
127395,22-23,Cancha 3,12,900.0,2.4849066497880004,6.802394763324311
127395,22-23,Cancha Vip 2,23,1000.0,3.1354942159291497,6.907755278982137
127395,22-23,Front Row Vip,17,1100.0,2.833213344056216,7.003065458786462
127395,22-23,Preferente,91,425.0,4.51085950651685,6.052089168924417
127395,22-23,Preferente Cabecera,44,325.0,3.784189633918261,5.783825182329737
127395,22-23,Preferente Central,182,425.0,5.204006687076795,6.052089168924417
127395,22-23,Preferente Tunel,42,425.0,3.7376696182833684,6.052089168924417
127395,22-23,Zona Boing,59,245.0,4.07753744390572,5.501258210544727
127395,22-23,Zona Elektra,28,245.0,3.332204510175204,5.501258210544727
127395,22-23,Zona Mercado libre,26,245.0,3.258096538021482,5.501258210544727
127395,22-23,Zona Pepsi,46,245.0,3.828641396489095,5.501258210544727
127395,22-23,Zona Toyota,31,245.0,3.4339872044851463,5.501258210544727
127395,22-23,Zona Zapata,32,245.0,3.4657359027997265,5.501258210544727
127396,22-23,Cancha 1,35,1318.0,3.5553480614894135,7.183870715062453
127396,22-23,Cancha 2,18,1200.0,2.8903717578961645,7.090076835776092
127396,22-23,Cancha 3,40,1025.0,3.6888794541139363,6.932447891572509
127396,22-23,Front Row Vip,5,1325.0,1.6094379124341003,7.1891677384203225
127396,22-23,Preferente,39,525.0,3.6635616461296463,6.263398262591624
127396,22-23,Preferente Cabecera,44,390.0,3.784189633918261,5.966146739123692
127396,22-23,Preferente Central,178,525.0,5.181783550292085,6.263398262591624
127396,22-23,Preferente Tunel,12,525.0,2.4849066497880004,6.263398262591624
127396,22-23,Zona Boing,63,300.0,4.143134726391533,5.703782474656201
127396,22-23,Zona Elektra,16,300.0,2.772588722239781,5.703782474656201
127396,22-23,Zona Mercado libre,30,300.0,3.4011973816621555,5.703782474656201
127396,22-23,Zona Pepsi,73,300.0,4.290459441148391,5.703782474656201
127396,22-23,Zona Toyota,26,300.0,3.258096538021482,5.703782474656201
127396,22-23,Zona Zapata,40,300.0,3.6888794541139363,5.703782474656201
127397,22-23,Banco Azteca,8,140.0,2.0794415416798357,4.941642422609304
127397,22-23,Cancha 1,37,1100.0,3.6109179126442243,7.003065458786462
127397,22-23,Cancha 2,54,1000.0,3.9889840465642745,6.907755278982137
127397,22-23,Cancha 3,8,900.0,2.0794415416798357,6.802394763324311
127397,22-23,Cancha Vip 2,8,1000.0,2.0794415416798357,6.907755278982137
127397,22-23,Front Row Vip,8,1100.0,2.0794415416798357,7.003065458786462
127397,22-23,McCormick,54,140.0,3.9889840465642745,4.941642422609304
127397,22-23,Platea Cabecera,41,140.0,3.713572066704308,4.941642422609304
127397,22-23,Preferente,57,425.0,4.04305126783455,6.052089168924417
127397,22-23,Preferente Central,134,425.0,4.897839799950911,6.052089168924417
127397,22-23,Preferente Fondo,8,325.0,2.0794415416798357,5.783825182329737
127397,22-23,Preferente Tunel,115,425.0,4.74493212836325,6.052089168924417
127397,22-23,Zona Boing,46,245.0,3.828641396489095,5.501258210544727
127397,22-23,Zona Elektra,40,245.0,3.6888794541139363,5.501258210544727
127397,22-23,Zona Mercado libre,14,245.0,2.6390573296152584,5.501258210544727
127397,22-23,Zona Miniso,5,140.0,1.6094379124341003,4.941642422609304
127397,22-23,Zona Pepsi,42,245.0,3.7376696182833684,5.501258210544727
127397,22-23,Zona Toyota,33,245.0,3.4965075614664802,5.501258210544727
127397,22-23,Zona Zapata,39,245.0,3.6635616461296463,5.501258210544727
127398,22-23,Cancha 1,39,1325.0,3.6635616461296463,7.1891677384203225
127398,22-23,Cancha 2,39,1200.0,3.6635616461296463,7.090076835776092
127398,22-23,Cancha 3,20,1025.0,2.995732273553991,6.932447891572509
127398,22-23,Front Row Vip,6,1325.0,1.791759469228055,7.1891677384203225
127398,22-23,McCormick,41,170.0,3.713572066704308,5.135798437050262
127398,22-23,Platea Cabecera,67,85.0,4.204692619390966,4.442651256490317
127398,22-23,Preferente Central,144,525.0,4.969813299576001,6.263398262591624
127398,22-23,Preferente Tunel,50,525.0,3.912023005428146,6.263398262591624
127398,22-23,Zona Boing,36,300.0,3.58351893845611,5.703782474656201
127398,22-23,Zona Elektra,8,300.0,2.0794415416798357,5.703782474656201
127398,22-23,Zona Miniso,9,170.0,2.1972245773362196,5.135798437050262
127398,22-23,Zona Pepsi,47,300.0,3.8501476017100584,5.703782474656201
127398,22-23,Zona Sabritas,5,85.0,1.6094379124341003,4.442651256490317
127398,22-23,Zona Zapata,13,300.0,2.5649493574615367,5.703782474656201
127399,22-23,Cancha 1,39,1550.0,3.6635616461296463,7.346010209913293
127399,22-23,Cancha 2,43,1400.0,3.7612001156935624,7.24422751560335
127399,22-23,Cancha 3,34,1200.0,3.5263605246161616,7.090076835776092
127399,22-23,Front Row Vip,9,1550.0,2.1972245773362196,7.346010209913293
127399,22-23,McCormick,70,200.0,4.248495242049359,5.298317366548036
127399,22-23,Platea Cabecera,131,200.0,4.875197323201151,5.298317366548036
127399,22-23,Preferente,65,600.0,4.174387269895637,6.396929655216146
127399,22-23,Preferente Cabecera,10,405.0,2.302585092994046,6.003887067106539
127399,22-23,Preferente Central,207,600.0,5.332718793265369,6.396929655216146
127399,22-23,Preferente Fondo,16,450.0,2.772588722239781,6.1092475827643655
127399,22-23,Preferente Tunel,95,600.0,4.553876891600541,6.396929655216146
127399,22-23,Zona Boing,52,350.0,3.9512437185814275,5.857933154483459
127399,22-23,Zona Elektra,30,350.0,3.4011973816621555,5.857933154483459
127399,22-23,Zona Mercado libre,31,350.0,3.4339872044851463,5.857933154483459
127399,22-23,Zona Miniso,21,200.0,3.044522437723423,5.298317366548036
127399,22-23,Zona Pepsi,69,350.0,4.23410650459726,5.857933154483459
127399,22-23,Zona Sabritas,12,100.0,2.4849066497880004,4.605170185988092
127399,22-23,Zona Toyota,29,350.0,3.367295829986474,5.857933154483459
127399,22-23,Zona Zapata,47,350.0,3.8501476017100584,5.857933154483459
127400,22-23,Banco Azteca,11,140.0,2.3978952727983707,4.941642422609304
127400,22-23,Cancha 1,37,1100.0,3.6109179126442243,7.003065458786462
